position_um,phase_y_line_rad,phase_z_line_rad
-50,0,0
-49.90234375,0,0
-49.8046875,0,0
-49.70703125,0,0
-49.609375,0,0
-49.51171875,0,0
-49.4140625,0,0
-49.31640625,0,0
-49.21875,0,0
-49.12109375,0,0
-49.0234375,0,0
-48.92578125,0,0
-48.828125,0,0
-48.73046875,0,0
-48.6328125,0,0
-48.53515625,0,0
-48.4375,0,0
-48.33984375,0,0
-48.2421875,0,0
-48.14453125,0,0
-48.046875,0,0
-47.94921875,0,0
-47.8515625,0,0
-47.75390625,0,0
-47.65625,0,0
-47.55859375,0,0
-47.4609375,0,0
-47.36328125,0,0
-47.265625,0,0
-47.16796875,0,0
-47.0703125,0,0
-46.97265625,0,0
-46.875,0,0
-46.77734375,0,0
-46.6796875,0,0
-46.58203125,0,0
-46.484375,0,0
-46.38671875,0,0
-46.2890625,0,0
-46.19140625,0,0
-46.09375,0,0
-45.99609375,0,0
-45.8984375,0,0
-45.80078125,0,0
-45.703125,0,0
-45.60546875,0,0
-45.5078125,0,0
-45.41015625,0,0
-45.3125,0,0
-45.21484375,0,0
-45.1171875,0,0
-45.01953125,0,0
-44.921875,0,0
-44.82421875,0,0
-44.7265625,0,0
-44.62890625,0,0
-44.53125,0,0
-44.43359375,0,0
-44.3359375,0,0
-44.23828125,0,0
-44.140625,0,0
-44.04296875,0,0
-43.9453125,0,0
-43.84765625,0,0
-43.75,0,0
-43.65234375,0,0
-43.5546875,0,0
-43.45703125,0,0
-43.359375,0,0
-43.26171875,0,0
-43.1640625,0,0
-43.06640625,0,0
-42.96875,0,0
-42.87109375,0,0
-42.7734375,0,0
-42.67578125,0,0
-42.578125,0,0
-42.48046875,0,0
-42.3828125,0,0
-42.28515625,0,0
-42.1875,0,0
-42.08984375,0,0
-41.9921875,0,0
-41.89453125,0,0
-41.796875,0,0
-41.69921875,0,0
-41.6015625,0,0
-41.50390625,0,0
-41.40625,0,0
-41.30859375,0,0
-41.2109375,0,0
-41.11328125,0,0
-41.015625,0,0
-40.91796875,0,0
-40.8203125,0,0
-40.72265625,0,0
-40.625,0,0
-40.52734375,0,0
-40.4296875,0,0
-40.33203125,0,0
-40.234375,0,0
-40.13671875,0,0
-40.0390625,0,0
-39.94140625,0,0
-39.84375,0,0
-39.74609375,0,0
-39.6484375,0,0
-39.55078125,0,0
-39.453125,0,0
-39.35546875,0,0
-39.2578125,0,0
-39.16015625,0,0
-39.0625,0,0
-38.96484375,0,0
-38.8671875,0,0
-38.76953125,0,0
-38.671875,0,0
-38.57421875,0,0
-38.4765625,0,0
-38.37890625,0,0
-38.28125,0,0
-38.18359375,0,0
-38.0859375,0,0
-37.98828125,0,0
-37.890625,0,0
-37.79296875,0,0
-37.6953125,0,0
-37.59765625,0,0
-37.5,0,0
-37.40234375,0,0
-37.3046875,0,0
-37.20703125,0,0
-37.109375,0,0
-37.01171875,0,0
-36.9140625,0,0
-36.81640625,0,0
-36.71875,0,0
-36.62109375,0,0
-36.5234375,0,0
-36.42578125,0,0
-36.328125,0,0
-36.23046875,0,0
-36.1328125,0,0
-36.03515625,0,0
-35.9375,0,0
-35.83984375,0,0
-35.7421875,0,0
